,레시피 이름,식품명,재료,양념,조리순서
0,중국집 기스면 만들기,기스면,,닭가슴살 삶은 육수 400ml##간장 1t##치킨스톡 1t##소금 ##후추 ##,"물에 닭가슴살, 대파, 생강을 넣고 약불로 30분간 끓여 육수를 낸다.##삶은 닭고기는 손으로 만질 수 있을 정도로 식히고, 손으로 잘게 찢는다. 대파 1대는 채썰어둔다.##육수는 한 번 체에 걸러서 간장, 치킨스탁을 넣고 소금, 후추로 간해 국물을 만든다.##에그누들을 3~4분정도 삶아준다.(소면대체 가능)##식용유를 끓여준다.##끓는 식용유를 닭고기와 대파 위에 부은 뒤, 잘 섞어준다.##면을 그릇에 담고 국물을 부은뒤 파와 닭고기 고명을 얹으면 완성.##"
1,해물볶음우동 만들어봤어요.,우동(중식),,,해물 비린내를 잡기 위해 맛술과 소주에 해물을 담가둔다.##양파 1/4개는 채 썬다.##볼에 양념재료를 넣고 양념장을 만든다.##끓는 물에 우동사리를 넣고 1분 정도 삶아 준 후 체에 밭쳐 물기를 뺀다.##달군 팬에 기름을 둘러주고 양파를 넣고 볶아 익힌다.##양파가 익으면 해물과 양념을 넣고 볶는다.##해물이 익으면 우동면을 넣고 재빨리 볶는다.##대파 한 움큼을 넣고 마무리 한다.##
2,순대국밥 레시피,쇠머리국밥,시판 순대 4컵##대파 1대##청양고추 2개##,다진 마늘 1.5스푼##들깨가루 2.5스푼##고춧가루 3스푼##새우젓 1.5스푼##액젓 1.5스푼##,"그릇에 양념장을 만들어주세요. 다진 마늘 1.5, 들깨가루 2.5, 고춧가루 3,새우젓 1.5,액젓 1.5 고루 섞어 줍니다. 액젓은 까나리, 멸치 등 갖고 계신 거 넣어주세요. 저는 멸치 액젓 사용했습니다. 액젓 없으면 참치 액~##대파, 청양고추를 송송 썰어주고,##순대는 한 입 크기로 썰어 주세요.##냄비에 시판 곰탕 한 봉지랑 물 2컵을 넣어주고 미리 만들어둔 양념장을 풀어주세요.##육수가 보글보글 끓어오르면 썰어 놓은 대파, 청양고추를 넣어 더 끓여 줍니다.##이때 위쪽에 든 거품을 숟가락을 이용해 중간 중간 걷어 내주세요.##썰어 놓은 순대를 넣고 한소끔 더 끓여주세요.(순대를 마지막에 넣어야지 터지지 않아요.) 맛을 보고 싱거우면 소금으로 간을 해주세요. 그리고 후춧가루를 더 해줍니다. 오랫동안 끓일 필요 없고요, 순대가 익으면 불을 내려주세요.##뚝배기에 밥을 담고 그 위에 만들어 놓은 순댓국을 부어주면 순대국밥이 된다죠 ㅋ 밥 따로 순댓국 따로 담아도 되고요. 어떻게 먹든 참 맛있는~##"
3,뼈다귀해장국 만들기,뼈다귀해장국,,고춧가루 4Ts##국간장 2Ts##된장 1Ts##새우젓 2Ts##간마늘 2Ts##소주또는 미림 2Ts##,"뼈는 3시간이상 핏물을 빼주세요.
중간중간 물은 갈아주시는게 좋아요!##끓는물에 뼈를 넣고 한번 데쳐주세요.(그래야 불순물이 제거되요.)##핏물을 버리고 한번 찬물에서 씻어주세요.(2차 불순물제거도 되고 기름기도 얼추 제거되요.)##이제 압력솥에 뼈를 넣고
삶은 시래기 두줌을 준비해주세요.
삶은 시래기는 깨끗한 물로 몇번 행궈주세요. 먹기좋은 크기로 썰어주세요.##이제 시래기는 물기를 짜고 고춧가루4Ts,국간장2Ts,된장1Ts,새우젓2Ts,간마늘2Ts를 넣고 조물조물해주세요.##좀 간이배게 놔둬도 되는데 급하시면 그냥 뼈다귀위에 올리세요.
그 위에 소주나 미림을 넣고 섞어주세요.
이제 물이 잠길만큼 넣고 압력솥에서 추가 돌기시작하면 불을 살짝 줄여서 30분정도 익히세요.##익은 뼈와 시래기를 냄비에 덜고 채썬 양파와 청양고추를 넣고 보글보글 끓이세요.
마지막에 들깨가루를 넣고 다진파를 올려서 한소큼 끓이면 완성이에요.##"
4,뽀얗게 우러나는 찬란한 국물♥ 연포탕,연포탕,낙지 4마리##무 1/5개(100g)##미나리 1줌(50g)##표고버섯 3개##대파 10cm##청양고추 2개##멸치다시마 육수 1000ml##,다진마늘 1T##국간장 1T##소금 1/4T##후추 약간##,"무는 나박 썰고 표고버섯은 채 썰고 청양 고추는 송송 썰고 대파는 어슷 썰고 미나리는 5cm로 썰어 준비한다.
낙지는 손질 하여 깨끗이 씻어 통으로 준비한다. (낙지 손질 영상 참조)
무 1/5개(100g), 표고버섯 3개, 청양고추 2개, 대파 10cm, 미나리 1줌(50g), 낙지 4마리##냄비에 멸치 다시마 육수를 붓고 무, 표고 버섯, 다진 마늘을 넣어 무가 투명해 질 때까지 끓인다.
멸치다시마 육수 1000ml, 다진마늘 1T
냄비##무가 익으면 국간장, 소금, 후추를 넣어 간을 하고 한소끔 더 끓인다.
국간장 1T, 소금 1/4T, 후추 약간##낙지를 넣고 낙지 색이 변할 때까지 익힌다.
거품이 올라오면 걷어 낸다.##미나리, 대파, 청양고추를 넣어 완성한다.##"
5,선지 해장국 끓이기,선지해장국,선지 2공기##얼갈이 1/2단##,된장 1/3큰술##다진마늘 1/3큰술##국간장 1/2큰술##청주 1/2큰술##고추가루 1/2큰술##,"얼갈이를 깨끗하게 씻어주세요.##소금을 1큰술 넣고 물을 끓인 후 물이 끓으면 씻어놓은 얼갈이를 넣어 데쳐주세요. 너무 오래 데치면 금세 물러집니다. 찬물에 헹궈 물기를 꼭 짜주세요.##물 1000cc정도에 된장 1큰술을 넣고 끓여 주세요.##요게 소의 위인 양이에요. 냄새가 장난 아니게 난답니다.##굵은소금 한줌을 넣고 박박 문질러 씻은 후 흐르는 물에 씻으세요. 다시 밀가루를 1줌 넣고 한번 더 박박 문질러 주세요. 흐르는 물에 씻어냅니다.##안쪽에 붙어있는 하얀 막을 떼어내세요.##된장물이 끓으면 양을 넣고 1시간 정도 삶아 주세요.##삶은 양은 좀 두꺼운 채썰기 해서 준비해 주세요.##요게 바로 선지예요. 선지는 흐르는 물에 한번 씻어 주세요.##다시 물 1000cc에 된장 1큰술을 넣고 끓이세요.##된장물이 끓으면 씻어놓은 선지를 넣고 삶아 주세요.##20분 정도 삶은 선지##선지에 된장, 마늘 청주를 넣고 조물조물 무치세요.##얼갈이도 먹기 좋은 크기로 썰어 국간장, 된장, 다진마늘, 고추가루를 넣고 조물조물 무쳐 놓으세요.##양념해 놓은 양과 얼갈이##사골과 육수를 섞어 주세요.##양념해 놓은 양과 선지를 넣고 끓입니다.##선지 해장국 양념입니다. 고춧가루, 된장, 고추장, 국간장, 다진마늘, 후추를 넣고 섞어 양념장을 만드세요.##냄비에 양념장을 모두 넣어 주세요. 끓을때 올라오는 거품은 가끔씩 걷어내 주세요.##"
6,울면,울면,다시마 2~3개##황태머리 ##무 ##양파 1개##파 ##물 1000cc##,오징어 1마리##새우 10마리##양파 1개##새송이 2개##배추 조금##피망 조금##당근 조금##대파 조금##다진마늘 1T##참기름 2T##굴소스 2T##맛술 2T##참치액 1T##생강즙 1T##,"먼저 맛국물(육수)재료를 냄비에 넣고 물을 부워 끓여서 육수를 만들어 체에 걸려 준비해 둡니다##오징어는 껍찔을 제거하고 칼집을 넣고 잘라 주고 야채는 체를 썰어 주세요##냄비나 팬을 가열하고 참기름과 마늘 양파를 넣어 향을 우러내 줍니다##야채를 먼저 넣고 소금을 조금 뿌려서 볶아주고 오징어를 넣고 굴소스를 넣어서 재빨리 볶아줍니다##만들어둔 육수를 부워준후 한소큼 끓여 주고 맛술,생강즙,후추,소금으로 간을 해 주세요##국물을 드셔 보셔서 맛이 우러났다면 녹말가루를 물에 개어서 조금씩 넣어가며 농도를 맞추어주고##소금을 한꼬집넣고 풀어준 계란을 넣고 수저로 가볍게 저어 주세요 소금간은 여러분 입맛에 맞게 조절하게요##계란이 너무 익기전에 불에서 내려 줍니다 후추를 듬뿍 뿌려서 드시면 개운하고 맛있답니다##급하게 만드느라 사다둔 생면이 없어서 컵라면을 사용했어요 면은 4분간 끓는물에 넣었다가 체에 받쳐 물기를 빼준후##울면 국물을 듬뿍 담아주고 통깨도 뿌리고 후추를 듬뿍 뿌려서 맛있게 드세요 녹말가루가 들어간 걸죽한 국물이라 다먹을때 까지 따듯하게 해주는 울면~국물이 끝내 줍니다~##"
7,직접 뽑은면으로 시원해지는 삼선우동,삼선우동,강력분 700g##물 850g##소금 14g##베이킹소다 7g##오징어 ##갑오징어 ##쭈꾸미 ##새우 ##양배추 ##호박 ##양파 ##표고버섯 1개##당근 ##바지락육수 2컵##,,제빵기로 반죽을 합니다##야채를 썰어놓습니다##해뮬도 준비힙니다##야채와 해물을 볶습니다##육수를 붓고 우동국물을 만듭니다##면을 뽑아 삶아 그릇에 담습니다##삶은면에 국물을 붓고 고명을 올립니다##
8,닭가슴살이용 닭칼국수 만들기,닭칼국수,닭가슴살 3덩어리##멸치액젓 1T##후추 약간##간마늘 1t##호박 1/4개##감자 2개##파 ##양파 1움큼##파 1움큼##소금 약간##,,"보양식 닭칼국수 만드는법.닭칼국수 황금레시피
국물도 따로 어렵게 낼 필요도 없이
간단하고 개운한 닭칼국수 레시피 소개해 드릴께요##우선 닭 한마리로 하시려면 닭을 잘 손질해서 세척해서
삶아 주세요. 살이 잘 발라지도록요##닭 삶은 물은 버리지 말아 주세요.
따로 육수 내실 필요 없이 요 닭 삶은 물을 사용 할 거랍니다.##멸치액젓1T.후추약간.간마늘1t을 넣고 싱거운 것은
소금으로 간을 맞추어 주세요.##그럼 육수 간을 맞추어졌다면 물이 끓기 시작하면
호박.감자.파.양파를 넣어서 또 채소가 우러나서
더 맛있는 육수가 되도록 끓여 주세요.##요렇게 채소가 반쯤 익을 정도까지 끓이는 동안
먼저 삶아 둔 닭을 먹기 좋은 크기로 찢어 준비해 주세요##그리고 채소가 반쯤 익으면 이제 물에 살짝 헹구어 준비한
칼국수 면을 넣어 주세요.
칼국수 면을 한번 삶아서 넣거나 흐르는 물에 겉의 밀가루를 헹구어
넣어 주시면 더 깔끔한 칼국수를 맛보실 수 있어요.
면이 거의 반쯤 익었다면 이제 손질 해 준비한
닭까지 넣어서 조금 더 끓여 주세요.##그럼 이제 완성이랍니다.
그냥 칼국수만들기 해서 먹어도 맛있지만
요렇게 닭을 넣어서 만들면 영양도 만점이고 맛도 더욱 좋지요.##"
9,순대국밥 레시피,순대국밥,시판 순대 4컵##대파 1대##청양고추 2개##,다진 마늘 1.5스푼##들깨가루 2.5스푼##고춧가루 3스푼##새우젓 1.5스푼##액젓 1.5스푼##,"그릇에 양념장을 만들어주세요. 다진 마늘 1.5, 들깨가루 2.5, 고춧가루 3,새우젓 1.5,액젓 1.5 고루 섞어 줍니다. 액젓은 까나리, 멸치 등 갖고 계신 거 넣어주세요. 저는 멸치 액젓 사용했습니다. 액젓 없으면 참치 액~##대파, 청양고추를 송송 썰어주고,##순대는 한 입 크기로 썰어 주세요.##냄비에 시판 곰탕 한 봉지랑 물 2컵을 넣어주고 미리 만들어둔 양념장을 풀어주세요.##육수가 보글보글 끓어오르면 썰어 놓은 대파, 청양고추를 넣어 더 끓여 줍니다.##이때 위쪽에 든 거품을 숟가락을 이용해 중간 중간 걷어 내주세요.##썰어 놓은 순대를 넣고 한소끔 더 끓여주세요.(순대를 마지막에 넣어야지 터지지 않아요.) 맛을 보고 싱거우면 소금으로 간을 해주세요. 그리고 후춧가루를 더 해줍니다. 오랫동안 끓일 필요 없고요, 순대가 익으면 불을 내려주세요.##뚝배기에 밥을 담고 그 위에 만들어 놓은 순댓국을 부어주면 순대국밥이 된다죠 ㅋ 밥 따로 순댓국 따로 담아도 되고요. 어떻게 먹든 참 맛있는~##"
