,식품명,어플용_식품분류,1회제공량,내용량_단위,에너지(㎉),탄수화물(g),단백질(g),지방(g)
0,기스면,4,1000,g,606.93,89.79,37.82,10.72
1,우동(중식),4,1000,g,648.47,85.37,29.45,21.02
2,쇠머리국밥,6,1000,g,239.21,27.04,15.83,7.53
3,뼈다귀해장국,1,1000,g,714,23.4,74.6,35.7
4,연포탕,2,1000,g,541.64,20.19,94.9,9.03
5,선지해장국,1,1000,g,312,16.7,49.3,5.4
6,울면,4,1000,g,728.86,128.18,37.46,7.37
7,삼선우동,4,1000,g,691.66,105.9,47.94,8.48
8,닭칼국수,4,900,g,663,94.7,42.2,12.8
9,순대국밥,6,900,g,673.09,93.46,28.56,20.56
10,삼계탕,1,900,g,911.39,34.57,96.09,43.19
11,돼지머리국밥,6,900,g,1233.32,143.42,60.34,46.47
12,해물칼국수,4,900,g,628.26,123.9,22.8,4.61
13,굴짬뽕,4,900,g,680.67,115.69,32.87,9.6
14,짬뽕밥,6,900,g,647.7,104.86,28.81,12.56
15,삼선짬뽕,4,900,g,662.37,101.73,39.63,10.77
16,김치우동,4,800,g,500.18,99.14,15.55,4.6
17,열무냉면,4,800,g,525.49,97.52,20.84,5.78
18,생선물회,2,800,g,577.97,82.5,34.3,12.3
19,뼈해장국,1,800,g,206.01,8.46,25.55,7.77
20,깨죽,7,800,g,515.35,79.31,13.66,15.94
21,콩국수,4,800,g,651.57,71.37,31.2,26.81
22,열무김치국수,4,800,g,431,69.6,15,10.2
23,짬뽕,4,800,g,464.46,66.06,22.3,12.34
24,장어탕,2,800,g,536.94,29.4,34.53,31.25
25,우동(일식),4,800,g,1264.19,243.83,14.27,25.75
26,순대국,1,800,g,540.3,17.26,43.52,33.02
27,소고기버섯죽,7,800,g,578.28,109.03,18.75,7.47
28,게살죽,7,800,g,564.83,107.35,17.9,7.09
29,참치죽,7,800,g,659.6,104.57,24.19,16.06
30,콩나물국밥,6,780,g,403.26,85.22,11.34,1.89
31,짬뽕라면,4,750,g,689,92,21.3,26.3
32,잡탕밥,6,750,g,777.44,104.94,44.12,20.13
33,닭개장,1,700,g,142.98,9.88,19.17,2.97
34,우동(일식),4,700,g,421.51,74.2,13.39,7.91
35,물냉면,4,700,g,383.98,72.15,13.75,4.49
36,사골만두국,1,700,g,606.93,62.6,26.19,27.97
37,잔치국수,4,700,g,310.2,56.34,13.53,3.41
38,만둣국,7,700,g,434.05,47.83,21.43,17.44
39,소고기국밥,6,700,g,330.53,42.6,21.8,8.1
40,맑은감자국,3,700,g,221,34.6,8.3,5.5
