index,음식이름,url주소
0,기스면,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMTA1MTBfMjgg%2FMDAxNjIwNjE2NzE3NDkz.0iMO7vz-m63a2JM0_j3Tj3enz3Y2w5ZrToP1TPHPRWsg.sNby2i9NnykSanF5Pwr78WjEZdrUvBw9sj0MqbO3xKYg.JPEG.ultrahj2%2FIMG_1382.jpg&type=a340
1,우동(중식),https://search.pstatic.net/common/?src=http%3A%2F%2Fcafefiles.naver.net%2FMjAxODAxMDZfNyAg%2FMDAxNTE1MjE1MDI2NTMz.Rn_E8XBBYJTnibIl6jg4omrOyBZ9dDlYF2g5zyqGBpIg.2e9gXre-Zg77eXYEmf0YAqT8lX8lJvK5ncPcDutBnEIg.JPEG.vernasky%2FexternalFile.jpg&type=a340
2,쇠머리국밥,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2F20140324_60%2Fbori1758_1395633002962lR3pN_JPEG%2F20140323_125913.jpg&type=ofullfill340_600_png
3,뼈다귀해장국,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMjAzMTRfNiAg%2FMDAxNjQ3MjQzNTk3MTc2.J-Guo8yAb9WvQ8ewW9UCLwl53sgXLKzmsbsARHvR5pEg.nmpdQh11cugAgYpXgEzXp1xmaS4GK5YEDa7Le4sN9eQg.JPEG.linnii%2Foutput_2197066076.jpg&type=a340
4,연포탕,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMjA3MjhfOTkg%2FMDAxNjU4OTc4MDk4MzE5.YwFGLskL-0t5vlIO7u9WIQSwdo_wlxr46SpW6UlrERYg.1nF5ah5C8yKgX93LKb1Ocusm3BIhaL8oDSsMTYHo7C0g.JPEG.hsh871212%2FKakaoTalk_20220728_121353639.jpg&type=a340
5,선지해장국,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMjEyMDdfNDgg%2FMDAxNjcwNDE4OTg5NTQ1.56UrutEdjnjjzQiapW9SlZ0-exJmmPmao-BlXekPSXMg.k4CfRSFaOfjhwG3C58egKCuPxwu8steP1AuILA_c1DAg.JPEG.akakemem%2FIMG_8918.jpg&type=a340
6,울면,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMDEyMjNfNDMg%2FMDAxNjA4NzA4ODIzOTcw.OCvyJYWs9AUwEJdt9J8GJg-njPFeVfhWf1AttidK-00g.wAydQxldyjJl_f9Me7zo361EyANdUE0V4PQMt0kC1iMg.JPEG.hungrytiger1%2FIMG_6898.jpg&type=a340
7,삼선우동,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxNzA3MjdfMjgz%2FMDAxNTAxMTI3MDg3NzA2.6JRcLmAYP6MnPy639--MzMLcbbTZjE39cnPPeG0BKYMg.iWqAXIVFDVzlbPudIZ32FepS08JJdBPn0Jnai1M1KBsg.JPEG.mudoidoi%2FP1620174.jpg&type=a340
8,닭칼국수,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMjExMzBfNzAg%2FMDAxNjY5ODEzOTYyNjA0.87rh3Q4nQOHtn5nlMnrz277bkeXzO7Ccw2mdIkP3nqQg.Gju6lyTT8AyRzY_wbvWSzgnm6tc-IPAh-kqZHw2LORkg.JPEG.ql_alwls11_%2FIMG_3235.jpg&type=a340
9,순대국밥,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMjExMjJfNDAg%2FMDAxNjY5MTAyMzU3ODgw.EpLPGTE4lfd2mWxYs65mx97VfK-r8AzbOKf8zxJ7P3Eg.rQh0G7g9R_BcqrmmHeYEFP8xLVqD99XwpKmpOueMJgIg.JPEG.kjek0817%2FKakaoTalk_20221109_170722843_08.jpg&type=a340
